disease_id,disease_name
C3806218,Episodic tachypnea
C4025819,Abnormality of the hypothalamus-pituitary axis
C4274118,Joubert syndrome with ocular defect
C4551568,Joubert syndrome 1
C0036346,"Schizophrenia, Childhood"
C0268615,"5,10-Methylenetetrahydrofolate reductase deficiency"
C1272677,Benign mixed epithelial and stromal tumor of kidney
C4476732,Endocapillary hypercellularity
C0006444,Bursitis
C0019326,Ventral Hernia
C1837785,Prominent superficial veins
C1838186,Squared iliac bones
C1851789,Poor wound healing
C4023965,Structural foot deformity
C4281771,Thin eyebrow
C4693870,"EHLERS-DANLOS SYNDROME, CLASSIC-LIKE, 2"
C1858854,MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS
C3151355,MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2A
C0017979,Glycosuria
C0020617,Hypoglycemic coma
C0022716,Menkes Kinky Hair Syndrome
C0149670,Disorder of carbohydrate metabolism
C0151747,Renal tubular disorder
C0158981,Neonatal diabetes mellitus
C0266267,Congenital hypoplasia of pancreas
C0271702,Iatrogenic hyperinsulinism
C0300948,Caudal Regression Syndrome
C0302511,Small for gestational age fetus
C0342273,Transient neonatal diabetes mellitus
C0342317,Loss of hypoglycemic warning
C0730345,Microalbuminuria
C0745153,Hypoglycaemic episode
C0877056,Hypoglycemic seizures
C1833104,"DIABETES MELLITUS, PERMANENT NEONATAL"
C1836189,Radial deviation of finger
C1838100,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3 (disorder)"
C1846288,Recurrent hypoglycemia
C1847425,Abnormal oral glucose tolerance
C1855520,"Hyperglycemia, Postprandial"
C1856438,Hypoketotic hypoglycemia
C1856904,Reduced pancreatic beta cells
C1859523,Contractures of the joints of the lower limbs
C1864903,Hyperinsulinemic hypoglycemia
C1864954,Fasting hyperinsulinemia
C1865290,"Hyperinsulinemic hypoglycemia, familial, 3"
C1969875,Beta-cell dysfunction
C1969879,Limb joint contracture
C2609269,Fasting hyperglycaemia
C2931832,"Hyperinsulinemic hypoglycemia, familial, 1"
C2931833,"Hyperinsulinemic hypoglycemia, familial, 2"
C3278636,Neonatal insulin-dependent diabetes mellitus
C3825462,Diabetes in youth
C3826457,Diabetes in children
C3827793,Transient hypothyroxinaemia of prematurity
C3888631,Monogenic diabetes
C4016117,"DIABETES MELLITUS, NONINSULIN-DEPENDENT, LATE-ONSET"
C4020778,maternal hyperglycemia
C4025714,Abnormality of the autonomic nervous system
C4073162,Elevated hemoglobin A1c
C4280765,Abnormal C-peptide level
C4321446,K ATP Permanent Neonatal Diabetes
C4330695,Mitochondrial Diabetes
C4728082,Severe hypoglycaemia
C0003119,Anophthalmos
C0151654,Myocardial fibrosis
C0206157,"Myopathies, Nemaline"
C0265221,Walker-Warburg congenital muscular dystrophy
C0266456,Meningoencephalocele
C0270960,Congenital myopathy (disorder)
C0270962,Multi-core congenital myopathy
C0344559,Irido-corneo-trabecular dysgenesis (disorder)
C0410180,Eichsfeld type congenital muscular dystrophy
C0457133,Muscle eye brain disease
C0546264,Congenital Fiber Type Disproportion
C1836003,Facial diplegia
C1836373,"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2K"
C1842552,Limb-girdle muscle atrophy
C1847762,Cerebellar cyst
C1850794,Proximal amyotrophy
C1850871,Hypoplasia of the pyramidal tract
C1852534,Hypoplastic male external genitalia
C1857353,Posterior fossa cyst
C1869123,Limb-girdle muscular dystrophy type 2A
C1969024,"CARDIOMYOPATHY, DILATED, 1X"
C1969040,"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2M"
C2265792,Skeletal muscle hypertrophy
C2751052,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITHOUT MENTAL RETARDATION), TYPE B, 4"
C2875316,Myotubular (centronuclear) myopathy
C2936406,alpha-Dystroglycanopathies
C3150412,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 3"
C3150415,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1"
C3150416,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 2"
C3278322,Cerebellar dysplasia
C3809221,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 14"
C4015098,Hypoglycosylation of alpha-dystroglycan
C4015184,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 12"
C4021082,Fatty replacement of skeletal muscle
C4022646,Reduced muscle fiber alpha dystroglycan
C4022916,Abnormal aldolase level
C4022946,Abnormal glycosylation
C4024809,Chorioretinal dysplasia
C4025773,Aplasia/Hypoplasia involving the skeletal musculature
C4073168,Abnormal lactate dehydrogenase activity
C4082144,Metatarsal Valgus
C4284790,"Muscular Dystrophy-Dystroglycanopathy (Congenital with Brain and Eye Anomalies) Type A, 1"
C4551722,Encephalocele
C0158683,Polycystic liver disease
C4255088,Isolated polycystic liver disease
C0003257,Antibody Deficiency Syndrome
C0025048,Meconium Aspiration Syndrome
C0025294,Meningococcal meningitis
C0231818,Airway constriction
C0272242,Complement deficiency disease
C0343047,Complement component 5 deficiency
C0343713,Gonococcal arthritis dermatitis syndrome
C0744451,Disseminated infection caused by Neisseria gonorrhoeae
C0746495,Recurrent meningitis
C0851883,Neisseria infection
C1449646,Primary Peritonitis
C1449647,Secondary Peritonitis
C3810402,"ECULIZUMAB, POOR RESPONSE TO"
C4024844,Generalized seborrheic dermatitis
C0206182,Lymphomatoid Papulosis
C1411980,Mycobacterium avium infection
C0398564,Deficiency of adenylate kinase
C0751958,"Lymphoma, Lymphocytic, Intermediate"
C1318711,Herpes simplex type 1 infection
C1387532,Chronic hemolytic anemia
C2675459,"Adenylate Kinase Deficiency, Hemolytic Anemia Due To"
C3278252,Red cell adenylate kinase deficiency
C0236664,Alcohol-Related Disorders
C0236970,Alcohol-Induced Disorders
C0004138,"Ataxias, Hereditary"
C0234366,Ataxic
C0235971,Elevated alpha-fetoprotein
C0393519,"Cerebellar Ataxia, Early Onset"
C0749870,Upper motor neuron signs
C0752252,Neuromuscular Manifestations
C1835265,"Lymphedema, microcephaly and chorioretinopathy syndrome"
C1848533,Ataxia with vitamin E deficiency
C1853761,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1"
C1853767,Impaired distal vibration sensation
C1858391,ATAXIA-TELANGIECTASIA-LIKE DISORDER
C1865409,"Amyotrophic Lateral Sclerosis 4, Juvenile"
C1865416,Pallor of dorsal columns of the spinal cord
C1865417,Diffuse axonal swelling
C3661519,Hereditary Motor Neuronopathy
C4012790,Ataxia-Telangiectasisa-Like Disorder 1
C4021578,Chronic axonal neuropathy
C4021583,Impaired distal tactile sensation
C4024957,Proximal spinal muscular atrophy
C4025723,Abnormal upper motor neuron morphology
C4275170,Autosomal recessive cerebellar ataxia with oculomotor apraxia type 1
C3150752,"AGAMMAGLOBULINEMIA 4, AUTOSOMAL RECESSIVE"
C4021084,Aplasia of optic nerve
C0085593,Chills
C0004681,Bagassosis
C0025874,Metrorrhagia
C0033074,Presbycusis
C0040127,Thyroid Crisis
C0040261,Onychomycosis
C0151640,Decreased fertility in males
C0154823,Retinal defect
C0221184,Bitemporal Hemianopia
C0235986,Growth hormone excess
C0268425,Alstrom Syndrome
C0339693,Internal Ophthalmoplegia
C0342422,Pituitary gland enlarged
C0346303,Thyrotroph adenoma
C0428974,Supraventricular arrhythmia
C0428975,Supraventricular Arrhythmia by ECG Finding
C0586553,Raised TSH level
C0854021,Abnormal visual field test
C1832394,"Deafness, Autosomal Recessive 12"
C1848634,"USHER SYNDROME, TYPE IIA"
C1849211,Generalized hirsutism
C1863340,PITUITARY ADENOMA PREDISPOSITION (disorder)
C2931208,"Usher syndrome, type 1D"
C3150654,"DEAFNESS, AUTOSOMAL RECESSIVE 84A"
C3152102,"USH1D/F, CDH23/PCDH15, DIGENIC"
C3275872,"USHER SYNDROME, TYPE ID/F, CDH23/PCDH15, DIGENIC"
C3276419,"USHER SYNDROME, TYPE ID/F, DIGENIC"
C3665358,Galactorrhea
C4021549,Euthyroid hyperthyroxinemia
C4021553,Periodic hypokalemic paresis
C4022676,Decreased female libido
C4023401,Abnormality of hair density
C4024716,Secondary growth hormone deficiency
C4025669,Decreased circulating ACTH level
C4025888,Abnormality of the menstrual cycle
C4072828,Sudden loss of visual acuity
C4539685,"PITUITARY ADENOMA 5, MULTIPLE TYPES"
C4551519,Abducens Nerve Palsy
C4551560,Truncal obesity
C0012736,Dissecting aortic aneurysm
C0013405,"Dyspnea, Paroxysmal"
C0039446,Telangiectasis
C0158638,Congenital anomaly of cerebrovascular system
C0232474,Increased peristalsis
C0281967,Retinal infarction
C0345050,Congenital aneurysm of ascending aorta
C0392775,Cystic medial necrosis of aorta
C0403647,Hypotonic bladder disorder
C0431401,Gillespie syndrome
C0741621,Brachial artery occlusion
C0750145,Occlusive vascular disease
C1299567,Neonatal stroke
C1303010,"Mydriasis, Congenital"
C1388233,Aneurysm of descending thoracic aorta
C1846837,"Aortic Aneurysm, Familial Thoracic 2"
C1851712,Dural ectasia
C2673186,"Aortic Aneurysm, Familial Thoracic 6"
C2674950,"LUNG CANCER, SUSCEPTIBILITY TO"
C2931117,Fetal megacystis
C3151201,MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME
C3279690,MOYAMOYA DISEASE 5
C3495549,Patent ductus arteriosus - persisting type
C4022878,Descending aortic dissection
C4025690,Prenatal maternal abnormality
C4289994,Adenosine Deaminase 2 Deficiency
C4293686,Periventricular white matter hyperdensities
C4476554,Carotid artery dilatation
C4477072,Iris flocculi
C4732796,Apical hypertrophic cardiomyopathy
C0011904,"Diagnostic Techniques, Cardiovascular"
C0034088,Pulmonary Valve Insufficiency
C0154835,Retinal telangiectasia
C0241984,Honeycomb lung
C1836777,"TELOMERE LENGTH, MEAN LEUKOCYTE"
C2242776,Plexiform leiomyoma
C2677299,CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS (disorder)
C4476639,Ground-glass opacification on pulmonary HRCT
C4476748,Reticular pattern on pulmonary HRCT
C4479220,CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS 2
C4721508,Hamman-Rich Disease
C4721952,Familial Idiopathic Pulmonary Fibrosis
C0751435,Hyperphenylalaninaemia
C1833736,"Osteogenesis imperfecta, Levin type"
C4479270,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT"
C0011574,Involutional Depression
C0013369,Dysentery
C0014179,Endometritis
C0016038,Fibroelastosis
C0017411,Female Genital Diseases
C0017657,Glomerulitis (disorder)
C0018835,Heartwater Disease
C0020449,Hyperdistention
C0020877,Ileitis
C0022594,Keratosis Blennorrhagica
C0030167,Pachymeningitis
C0032302,Mycoplasma pneumonia
C0040954,Infection by Trichuris trichiura
C0086501,Keratoma
C0151295,Mononeuritis Multiplex
C0152002,Renal vasculitis
C0152276,Granulocytic Sarcoma
C0221239,Rapidly progressive glomerulonephritis
C0236053,Mucosal ulcer
C0242453,Prostatism
C0262972,Acute dermatitis
C0264988,Periarteritis
C0266941,Derangement of temporomandibular joint
C0268750,Necrotizing glomerulonephritis
C0277526,Dysenteric diarrhea
C0279632,Adult Acute Megakaryoblastic Leukemia
C0279650,Childhood Acute Megakaryoblastic Leukemia
C0334250,Acantholytic squamous cell carcinoma
C0343187,Primary systemic vasculitis
C0343206,Hypocomplementemic urticarial vasculitis
C0349218,Recurrent depressive disorder
C0403693,Male accessory gland infection
C0406537,Morbilliform Drug Reaction
C0522631,"Acute myeloid leukemia, minimal differentiation"
C0524988,Schnitzler Syndrome
C0549143,Pulmonary renal syndrome
C0586354,Esophageal dysplasia
C0751003,Brain Aneurysm
C0852879,Pulmonary Alveolar Hemorrhage
C0877578,Treatment related secondary malignancy
C0948402,Hypertrophic pachymeningitis
C1273070,Left ventricular diastolic dysfunction
C1292773,Acute myeloid leukemia with multilineage dysplasia
C1301359,Precursor T cell lymphoblastic leukemia/lymphoblastic lymphoma
C1304408,Urticarial vasculitis
C1318520,Necrotizing vasculitis
C1332213,Adult T Lymphoblastic Lymphoma
C1332998,Childhood T Lymphoblastic Lymphoma
C1571983,Involutional paraphrenia
C1571984,"Psychosis, Involutional"
C1855739,"Indifference to Pain, Congenital, Autosomal Recessive"
C1865903,Long-tract signs
C2613439,Extramedullary Hematopoiesis (disorder)
C2698399,Myeloperoxidase Measurement
C3887645,Job Syndrome
C4042945,Severe Acute Malnutrition
C4288892,Infant Acute Undifferentiated Leukemia
C4324689,Pauci-immune glomerulonephritis
C4699152,ST-segment elevation myocardial infarction (STEMI)
C4703620,Decreased level of GABA in serum
C4721505,"Sarcoma, Myeloid"
C4727981,Eosinophilic otitis media
C4755251,"Congenital neutropenia, myelofibrosis, nephromegaly syndrome"
C0042485,Venous Insufficiency
C0085315,"Toxoplasmosis, Cerebral"
C1281914,Corneal allograft rejection
C1400193,Absent pituitary
C1850000,Presentey Anomaly
C1833229,"Cataract, Congenital Zonular, with Sutural Opacities"
C1854021,"Cataract, Central Saccular, With Sutural Opacities"
C1864205,"Macular Degeneration, Age-Related, 1"
C4021560,Posterior Y-sutural cataract
C1839780,FRAGILE X TREMOR/ATAXIA SYNDROME
C1842605,SCHIZOPHRENIA 11
C0043395,Yellow Fever
C0002894,Refractory anaemia with excess blasts
C0011268,Senile dementia
C0014347,Enterobacteriaceae Infections
C0016397,Focal Infection
C0021308,Infarction
C0023481,Chronic Neutrophilic Leukemia
C0023501,Leukemoid Reaction
C0024302,Reticulosarcoma
C0024304,"Lymphoma, Mixed-Cell"
C0024306,"Lymphoma, Undifferentiated"
C0032197,Platelet Storage Pool Deficiency
C0037998,Splenic Infarction
C0038160,Staphylococcal Infections
C0078918,"Albinism, Oculocutaneous"
C0079741,"Lymphoma, Intermediate-Grade"
C0079757,Diffuse Mixed-Cell Lymphoma
C0085183,"Neoplasms, Second Primary"
C0086696,"Neoplasms, Therapy-Associated"
C0151971,Primary ulcer of intestine
C0154748,Lesion of Sciatic Nerve
C0155829,Enlargement of tonsil or adenoid
C0178416,Hypoplastic anemia
C0206178,Cytomegalovirus Retinitis
C0206651,Clear Cell Sarcoma of Soft Tissue
C0238990,Acute lower respiratory tract infection
C0243010,Viral Encephalitis
C0262985,Psoriasiform eczema
C0263145,Cellulitis of abdominal wall
C0265026,Capillary thrombosis
C0276085,Ecthyma gangrenosum
C0278486,Breast cancer stage II
C0279094,Adult Acute Myeloid Leukemia in Remission
C0279096,Childhood Acute Myeloid Leukemia in Remission
C0279627,Adult Acute Myelomonocytic Leukemia
C0279644,Childhood Acute Myelomonocytic Leukemia
C0280028,Refractory anemia with excess blasts in transformation (clinical)
C0280745,secondary myelodysplastic syndromes
C0333355,Inflammatory disease of mucous membrane
C0334357,Papillary cystic tumor
C0340565,Lower limb ischemia
C0343751,Asymptomatic human immunodeficiency virus infection
C0458219,Complex Regional Pain Syndromes
C0543669,"Neutrophilia, Hereditary"
C0746882,Chronic neutropenia
C0752255,"Impairment, Light Touch Sensation"
C0752256,Pain Sensation Diminished
C0752257,Pinprick Sensation Diminished
C0752258,Position Sense Disorders
C0752260,Proprioceptive Disorders
C0752261,Thermal Sensation Disorders
C0752262,Somatosensory Disorders
C0851162,Infections of musculoskeletal system
C0854866,Recurrent Non-Hodgkin Lymphoma
C0877058,Lymphocytic dermatitis
C0919746,Engraftment syndrome
C0920289,Sluggishness
C0948775,High weight
C1096335,Radiculomyelopathy
C1096452,Neonatal Early-Onset Sepsis
C1282609,Granulocytosis
C1335381,Pericardial mesothelioma
C1336030,Solid pseudopapillary tumour of the pancreas
C1565321,Cholera Infantum
C1851710,LATERAL MENINGOCELE SYNDROME
C1863753,LIMB-MAMMARY SYNDROME
C2873756,Severe beta thalassemia
C2931027,"Neutropenia, severe chronic"
C2931189,Neural crest tumor
C2931245,Bone Marrow failure syndromes
C2981142,"Refractory anemia, without ringed sideroblasts, without excess blasts"
C2986655,Functioning Endocrine Neoplasm
C2986717,Anti-N-Methyl-D-Aspartate Receptor Encephalitis
C2987252,Esophageal Spindle Cell Carcinoma
C3714542,"Lymphoma, Diffuse"
C3805247,Late onset neutropenia
C3854437,Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids
C3898153,Necrotizing Funisitis
C4025218,Vasculitis of large artery
C4324336,Hyperleukocytosis
C4509023,Light chain (AL) amyloidosis
C4520714,Stage II Breast Cancer AJCC v6 and v7
C4520898,Stage IV Breast Cancer AJCC v6 and v7
C4528554,Anatomic Stage II Breast Cancer AJCC v8
C4528580,Prognostic Stage II Breast Cancer AJCC v8
C4528668,Acute myeloid leukaemia refractory
C4546278,Sepsis caused by Klebsiella pneumoniae
C4551555,Congenital agranulocytosis
C4551627,Granulocytopenic disorder
C4704767,Myelodysplastic Syndrome Acute Myeloid Leukemia
C4744984,Advanced Gastric Neuroendocrine Carcinoma
C3472711,Spinocerebellar ataxia 36
C0005689,Bladder Exstrophy
C0266273,Congenital absence of adrenal gland
C0426816,Absence of rib
C0685682,Single naris
C1321884,Atresia of vagina
C1384670,Single umbilical artery
C1610065,Urethral atresia
C1838703,Bladder Exstrophy and Epispadias Complex
C1848869,Absent external genitalia
C1848877,Peripheral pulmonary vessel aplasia
C1968706,Hypoplasia of the fallopian tube
C2931216,Tetra-amelia autosomal recessive
C2931218,Tetraamelia multiple malformations
C3536734,Hypoplastic pelvis
C4012268,"TETRAAMELIA SYNDROME, AUTOSOMAL RECESSIVE"
C4020966,Abnormally ossified vertebrae
C4021777,Abnormality of the larynx
C4024159,Aplasia/Hypoplasia involving the nose
C4024597,Aplasia/Hypoplasia involving the pelvis
C0006157,Breech Presentation
C0271901,Microcytic hypochromic anemia (disorder)
C1291373,Deficiency of sedoheptulokinase
C1857641,Severe postnatal growth retardation
C0014394,Enuresis
C1263989,Regenerative anemia
C4704753,"Urinary Bladder, Underactive"
C0001957,Alcohol Withdrawal Delirium
C0020639,Hypoproteinemia
C0279543,Philadelphia chromosome positive chronic myelogenous leukemia
C0040457,"Tooth, Supernumerary"
C0158113,Contracture of joint of hand
C0242855,Congenital atresia of pulmonary valve
C0262361,Growth abnormality
C0423276,Shallow anterior chamber of eye
C0423867,Fine hair
C0424323,Physical aggression
C0426870,Large hand
C0432355,Hypoplasia of nipple
C0521619,Obstruction of pelviureteric junction
C0576225,Long foot
C1836933,Low-set nipples
C1837731,Overfolded helix
C1838705,Anteriorly placed anus
C1848392,Zunich neuroectodermal syndrome
C1848670,Aplasia/Hypoplasia of the phalanges of the hand
C1854111,Broad philtrum
C1855923,Hyperphosphatasia with Mental Retardation
C2677328,Cerebral hypomyelination
C3554612,Contracture of the proximal interphalangeal joint of the 5th finger
C3887489,Clubbing of toes
C4021608,Shortening of all distal phalanges of the fingers
C4021834,Abnormal parietal bone morphology
C4022381,Broad 2nd toe
C4023987,Aplasia/Hypoplasia of the phalanges of the toes
C4083076,Increased head circumference
C0152259,Cataract secondary to ocular disorder
C0268155,Deficiency of galactokinase
C0268157,Galactosuria
C0342745,Disorder of galactose metabolism
C0751161,UDPglucose 4-epimerase deficiency disease
C3277059,Congenital Bilateral Cataracts
C4021643,Impairment of galactose metabolism
C4023071,Hypergalactosemia
C4721766,Unspecified secondary cataract
C0233472,Labile affect
C3553719,AMYOTROPHIC LATERAL SCLEROSIS 18
C0039239,Sinus Tachycardia
C0086769,Panic Attacks
C0521670,Cranial nerve compression
C0730303,Capillary hemangioma of retina
C0751559,Pulsatile Tinnitus
C1333944,Paraganglioma of head and neck
C1387805,Episodic paroxysmal anxiety
C1857171,Episodic hyperhidrosis
C1868393,Elevated urinary epinephrine
C1868394,Elevated calcitonin
C4022998,Arachnoid hemangiomatosis
C4023099,Elevated urinary dopamine
C4025594,Positive regitine blocking test
C4025626,Elevated urinary norepinephrine
C4025629,Elevated circulating catecholamine level
C4293708,Recurrent paroxysmal headache
C1519678,Tumor Expansion
C1845165,PARKINSON DISEASE 12
C2931246,Potocki-Lupski syndrome
C0040963,Tricuspid Valve Stenosis
C0162674,Chronic progressive external ophthalmoplegia
C0206602,Circovirus Infections
C0949056,Infection caused by Coxiella
C4068858,Avascular retina
C4540209,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 33
C0265213,Distal arthrogryposis syndrome
C3810018,Bilateral coxa valga
C4748898,TRICHOHEPATONEURODEVELOPMENTAL SYNDROME
C1867013,Increased risk of sudden cardiac death
C4016898,"CARDIAC CONDUCTION DEFECT, SUSCEPTIBILITY TO"
C0001618,Tumors of Adrenal Cortex
C0279563,Lobular carcinoma in situ of breast
C0334381,Non-infiltrating lobular carcinoma
C0861352,Lobular Neoplasia
C1368920,Atypical Lobular Breast Hyperplasia
C0017565,Gingival Hemorrhage
C0344395,Bilirubin measurement
C0429087,Electrocardiogram: P-R interval
C3893645,response to ACE inhibitor
C0004576,Babesiosis
C0006105,Brain Abscess
C0007932,Chagas' disease without mention of organ involvement
C0011999,Diastematomyelia
C0014127,Endocervicitis
C0016045,fibroma
C0016782,Fuchs' heterochromic cyclitis
C0018200,"Granuloma, Respiratory Tract"
C0020522,Delayed Hypersensitivity
C0022876,Premature Obstetric Labor
C0022893,Labyrinthitis
C0023288,Infection by Leishmania braziliensis
C0027806,Neurenteric Cyst
C0027927,Neurosyphilis
C0028796,"Dermatitis, Occupational"
C0029104,Opioid withdrawal
C0030343,Panuveitis
C0030794,Pelvic Pain
C0032453,"Polychondritis, Relapsing"
C0034063,Pulmonary Edema
C0034188,"Pyelonephritis, Xanthogranulomatous"
C0035067,Renal Artery Stenosis
C0035312,Retinal Drusen
C0035457,"Rhinitis, Allergic, Perennial"
C0036651,Solar lentigo
C0039496,Temporomandibular Joint Dysfunction Syndrome
C0041295,Tuberculoma
C0041330,"Tuberculosis, Spinal"
C0080218,Tethered Cord Syndrome
C0149937,Acute interstitial nephritis
C0151857,Pleocytosis
C0152026,Retinal Vasculitis
C0152234,Iniencephaly
C0153519,"Malignant neoplasm of connective and other soft tissue, site unspecified"
C0154832,Exudative retinopathy
C0158944,Infections specific to perinatal period
C0205204,Scab
C0206750,Coronavirus Infections
C0221292,Basophilic leukemia
C0238097,Cytomegalovirus encephalitis
C0242084,Ruptured cerebral aneurysm
C0264383,Organized pneumonia
C0264949,Burn shock
C0265116,Chronic cerebral ischemia
C0265699,Congenital hernia of foramen of Morgagni
C0265700,Congenital hernia of foramen of Bochdalek
C0266453,Exencephaly
C0267380,Crohn's disease of the ileum
C0268255,Farber Lipogranulomatosis
C0271051,Macular retinal edema
C0272238,Transient hypogammaglobulinemia of infancy
C0280297,lip and oral cavity squamous cell carcinoma
C0339229,Superior limbic keratoconjunctivitis
C0341503,Bacterial peritonitis
C0341699,Granulomatous interstitial nephritis
C0343457,Borderline tuberculoid leprosy
C0344479,Spinal Cord Myelodysplasia
C0344490,Sacral agenesis
C0346991,Secondary malignant neoplasm of omentum
C0375530,Congenital Ureteropelvic Junction Obstruction
C0410574,Synovial Hypertrophy
C0473221,Cryoglobulinemic glomerulonephritis
C0497391,atopic eczema/dermatitis (non-specific)
C0546983,Post-Concussion Syndrome
C0577657,Infected hand
C0585187,Infected ascites
C0678202,Regional enteritis
C0685889,Splenic Hypoplasia
C0702169,Acrania
C0741237,arthritis symptoms
C0746104,lung disease granulomatous
C0748168,Pulmonary Pathology
C0752235,Lyme Neuroborreliosis
C0850758,Pelvic pain female
C0860218,ABO incompatibility
C0860236,Disseminated leishmaniasis
C0876994,Cardiotoxicity
C0948245,Cytokine Release Syndrome
C1168279,Melalgia
C1260710,Acute ulcerative colitis
C1268935,Congenital Thrombotic Thrombocytopenic Purpura
C1298681,Oxalosis
C1328252,Mucocutaneous leishmaniasis
C1335475,Primary Carcinoma
C1396740,Epidemic polyarthritis
C1403880,Viral meningoencephalitis
C1443892,Chronic Q Fever
C1510428,Cerebral abscess
C1512694,Increased Cellularity Present
C1535985,Staphylococcal osteomyelitis
C1541317,Adult Gliosarcoma
C1704377,Bright Disease
C1719494,"PERIODONTITIS, LOCALIZED AGGRESSIVE"
C1834752,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO (finding)"
C1838244,"TIBIAL MUSCULAR DYSTROPHY, TARDIVE"
C1845118,"SHORT STATURE, IDIOPATHIC, X-LINKED"
C1859518,"Beta-Aminoisobutyric Acid, Urinary Excretion of"
C1865384,"Amyotrophy, monomelic"
C1961121,Congenital vascular anomaly
C2242472,Infection of bone
C2363725,Arthrosclerosis
C3714506,Meckel syndrome type 1
C3899658,Childhood Gliosarcoma
C4024669,Asymmetry of spinal facet joints
C4049711,Lepidic Predominant Adenocarcinoma
C4543948,Localized cutaneous leishmaniasis
C0026393,Molluscum Contagiosum
C0151828,Injection site pain
C0242459,Simple Pulmonary Eosinophilia
C0021846,Intestinal Polyps
C0026706,Mucopolysaccharidosis III
C0086648,MPS III B
C0086650,MPS III D
C0086651,"Mucopolysaccharidosis, MPS-IV-A"
C0262424,CNS DEGENERATION
C0270707,Kluver-Bucy Syndrome
C0341703,Adult Fanconi syndrome
C0426820,Thick rib
C0554309,Prerenal uremia syndrome
C0581381,Recurrent upper respiratory tract infection
C1404837,Drug-induced Nephropathy
C1842060,Prominent supraorbital ridges
C1854827,Heparan sulfate excretion in urine
C1854834,Dense calvaria
C1868556,Ovoid thoracolumbar vertebrae
C4024726,Mucopolysacchariduria
C4024963,"Abnormal aggressive, impulsive or violent behavior"
C4072872,obsolete Rod-cone dystrophy
C4225306,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2V"
C4551504,Oculocutaneous albinism type 1A
C4551898,"Cholestasis, progressive familial intrahepatic 1"
C0042131,Uterine Diseases
C0206723,Sertoli-Leydig Cell Tumor
C0852654,21-hydroxylase deficiency
C1318541,Sertoli-Leydig cell tumor of intermediate differentiation
C2936858,Congenital adrenal hyperplasia due to 21 hydroxylase deficiency
C3160891,Hormone-dependent prostate cancer
C3203672,CYP2C19 polymorphism
C4331029,Primary Pigmented Nodular Adrenal Dysplasia
C0008767,Cicatrization
C0011330,Dental Calculus
C0012819,Diverticular disease of colon
C0013581,Ectopia Lentis
C0019288,"Hernia, Femoral"
C0019555,"Hip Dislocation, Congenital"
C0020453,Hyperesthesia
C0020497,Cortical Congenital Hyperostosis
C0026825,Flaccid Muscle Tone
C0027122,Myositis Ossificans
C0032209,Platybasia
C0039516,Tennis Elbow
C0040962,Tricuspid Valve Prolapse
C0152093,Hypermobility syndrome
C0158447,Idiopathic osteoporosis
C0158713,Bilateral congenital dislocation of hip
C0220679,"Ehlers-Danlos Syndrome, Autosomal Dominant, Type Unspecified"
C0240231,Fractures of the long bones
C0259779,Fibrous Dysplasia
C0265301,Sclerosteosis
C0265333,Tricho-dento-osseous syndrome (disorder)
C0268338,"Ehlers-Danlos Syndrome, Type IV"
C0268345,"EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE"
C0268360,"Osteogenesis imperfecta, recessive perinatal lethal"
C0268363,Osteogenesis imperfecta type IV (disorder)
C0334459,Infantile fibrosarcoma
C0334464,Pigmented Dermatofibrosarcoma Protuberans (Bednar Tumor)
C0410787,Hereditary Connective Tissue Disorder
C0410935,Wide cranial sutures
C0426824,Beading of ribs
C0432253,Bruck syndrome
C0455988,"Hydrops Fetalis, Non-Immune"
C0575484,Long thorax
C0684516,Benign bone neoplasm
C0878638,Abnormality of the tongue
C1275239,Dermatomyofibroma
C1333419,Liver and Intrahepatic Bile Duct Epithelial Neoplasm
